state,city,avg.list price,avg.price/sqft,avg.days on market
FL,4.Jacksonville,"$304,454",$182,78
FL,5.Fort Lauderdale,"$674,000",$410,112
FL,6.Sarasota,"$725,000",$480,82
FL,7.Boca Raton,"$739,000",$396,98
FL,8.Naples,"$1,795,000",$612,94
FL,9.St. Petersburg,"$439,000",$323,64
FL,10.West Palm Beach,"$525,000",$332,96
FL,11.Kissimmee,"$350,000",$202,102
FL,12.Cape Coral,"$455,000",$217,96
FL,13.Ocala,"$314,870",$156,88
FL,14.Delray Beach,"$571,950",$364,88
FL,15.Clearwater,"$365,000",$270,98
FL,16.Miami Beach,"$695,000",$650,120
FL,17.Fort Myers,"$389,000",$226,91
FL,18.Port St. Lucie,"$439,900",$225,88
FL,19.St. Augustine,"$550,000",$302,124
FL,20.Pensacola,"$348,900",$224,103
GA,1.Atlanta,"$371,300",$270,90
GA,2.Alpharetta,"$907,500",$266,80
GA,3.Marietta,"$450,216",$219,64
GA,4.Savannah,"$375,000",$193,77
GA,5.Cumming,"$656,320",$236,67
GA,6.Roswell,"$735,000",$226,72
GA,7.Sandy Springs,"$374,950",$247,90
GA,8.Duluth,"$482,000",$219,72
GA,9.Lawrenceville,"$399,628",$181,60
GA,10.Johns Creek,"$751,215",$242,60
GA,11.Suwanee,"$639,450",$213,80
GA,12.Decatur,"$494,995",$338,82
GA,13.Smyrna,"$445,000",$232,75
GA,14.Buford,"$824,428",$216,88
GA,15.Woodstock,"$505,000",$244,57
GA,16.McDonough,"$361,245",$155,82
GA,17.Kennesaw,"$405,000",$181,75
GA,18.Fayetteville,"$445,000",$189,85
GA,19.Dunwoody,"$449,950",$232,78
GA,20.Douglasville,"$372,990",$146,80
HI,1.Honolulu,"$620,000",$720,105
HI,2.Kailua-Kona,"$717,500",$658,116
HI,3.Hilo,"$660,000",$446,92
HI,4.Kailua,"$1,500,000",$786,96
HI,5.EWA Beach,"$868,000",$615,63
HI,6.Kaneohe,"$870,000",$661,66
HI,7.Kapolei,"$737,500",$602,83
HI,8.Kihei,"$839,000","$1,078",105
HI,9.Pearl City,"$780,000",$643,68
HI,10.Mililani Town,"$719,000",$633,72
HI,11.Aiea,"$499,000",$696,84
HI,12.Waipahu,"$598,000",$532,60
HI,13.Lahaina,"$1,250,000","$1,244",114
HI,14.Princeville,"$1,392,000",$910,146
HI,15.Pahoa,"$424,000",$148,501
HI,16.Wailuku,"$784,500",$701,109
HI,17.Waimea,"$1,100,000",$659,108
HI,18.Keaau,"$490,000",—,137
HI,19.Wailea,"$1,850,000",$868,88
HI,20.Waianae,"$400,000",$496,112
ID,1.Boise,"$549,950",$298,69
ID,2.Meridian,"$579,000",$271,70
ID,3.Eagle,"$824,880",$333,77
ID,4.Coeur d'Alene,"$661,495",$279,106
ID,5.Nampa,"$439,990",$230,64
ID,6.Star,"$574,995",$246,120
ID,7.Post Falls,"$544,900",$280,77
ID,8.Sandpoint,"$664,925",$323,130
ID,9.Caldwell,"$403,570",$237,63
ID,10.Hayden,"$549,000",$300,68
ID,11.Idaho Falls,"$382,500",—,70
ID,12.Middleton,"$536,995",$230,89
ID,13.Twin Falls,"$409,500",$222,104
ID,14.Kuna,"$489,990",$256,63
ID,15.McCall,"$999,250",$455,138
ID,16.Rathdrum,"$609,500",$320,106
ID,17.Moscow,"$479,900",$263,92
ID,18.Sun Valley,"$1,324,500",$543,124
ID,19.Emmett,"$449,990",$256,112
ID,20.Pocatello,"$350,950",$156,82
IL,1.Chicago,"$329,900",$244,77
IL,2.Naperville,"$625,000",$240,61
IL,3.Schaumburg,"$312,500",$220,50
IL,4.Arlington Heights,"$510,000",$235,60
IL,5.Glenview,"$600,000",$260,56
IL,6.Des Plaines,"$345,000",$211,59
IL,7.Orland Park,"$367,500",$190,59
IL,8.Oak Park,"$409,900",$245,74
IL,9.Evanston,"$399,000",$270,52
IL,10.Downers Grove,"$457,500",$246,62
IL,11.Mount Prospect,"$374,250",$222,60
IL,12.Palatine,"$380,000",$213,59
IL,13.Plainfield,"$539,900",$203,64
IL,14.Skokie,"$439,000",$231,62
IL,15.Northbrook,"$587,250",$271,68
IL,16.Lombard,"$339,950",$226,54
IL,17.Elmhurst,"$764,000",$344,84
IL,18.Hoffman Estates,"$369,900",$222,54
IL,19.St. Charles,"$462,400",$219,55
IL,20.Aurora,"$320,000",$200,49
IN,1.Indianapolis,"$264,900",$134,70
IN,2.Carmel,"$599,999",$179,47
IN,3.Fishers,"$435,000",$165,57
IN,4.Munster,"$377,450",$159,89
IN,5.Hammond,"$219,900",$139,59
IN,6.Zionsville,"$785,000",$188,68
IN,7.Dyer,"$310,000",$148,54
IN,8.Crown Point,"$330,000",$170,67
IN,9.Westfield,"$548,450",$183,60
IN,10.Noblesville,"$397,000",$154,51
IN,11.Greenwood,"$317,950",$162,72
IN,12.Fort Wayne,"$220,000",$133,44
IN,13.Gary,"$154,500",$63,84
IN,14.South Bend,"$140,000",$112,60
IN,15.Schererville,"$364,900",$150,62
IN,16.St. John,"$560,000",$176,102
IN,17.Valparaiso,"$448,503",$166,80
IN,18.Merrillville,"$272,599",$155,69
IN,19.Brownsburg,"$381,750",$174,71
IN,20.Bloomington,"$329,000",$178,102
IA,1.Des Moines,"$255,000",$182,74
IA,2.Iowa City,"$375,000",$175,86
IA,3.West Des Moines,"$359,900",$211,84
IA,4.Cedar Rapids,"$215,000",$125,63
IA,5.Ankeny,"$394,995",$224,88
IA,6.Davenport,"$205,000",$118,67
IA,7.Urbandale,"$424,990",$217,103
IA,8.Waukee,"$424,950",$255,113
IA,9.Ames,"$422,500",$203,101
IA,10.Dubuque,"$237,450",$130,62
IA,11.Bettendorf,"$366,750",$148,58
IA,12.Council Bluffs,"$246,950",$137,48
IA,13.Sioux City,"$229,000",$125,63
IA,14.Clive,"$549,900",$206,131
IA,15.Johnston,"$484,495",$202,75
IA,16.Coralville,"$315,000",$163,74
IA,17.Cedar Falls,"$323,000",$146,82
IA,18.Waterloo,"$200,000",$112,61
IA,19.North Liberty,"$361,999",$150,49
IA,20.Altoona,"$359,990",$266,76
KS,1.Overland Park,"$685,657",$198,77
KS,2.Olathe,"$607,750",$195,84
KS,3.Wichita,"$289,900",$116,54
KS,4.Kansas City,"$219,500",$141,62
KS,5.Leawood,"$1,100,784",$213,95
KS,6.Lenexa,"$726,050",$202,93
KS,7.Shawnee,"$514,900",$172,84
KS,8.Lawrence,"$355,000",$170,71
KS,9.Prairie Village,"$1,124,900",$248,39
KS,10.Topeka,"$150,000",$103,42
KS,11.Manhattan,"$317,450",$100,64
KS,12.Mission,"$360,700",$189,50
KS,13.Leavenworth,"$226,500",$132,58
KS,14.Mission Hills,"$3,199,950",—,147
KS,15.Gardner,"$437,400",$176,62
KS,16.Fairway,"$604,250",$277,48
KS,17.Bonner Springs,"$400,000",$176,29
KS,18.Basehor,"$450,000",$203,85
KS,19.Spring Hill,"$417,504",$204,78
KS,20.Andover,"$376,407",$136,127
KY,1.Louisville,"$264,900",$157,54
KY,2.Lexington,"$399,000",$185,60
KY,3.Bowling Green,"$299,900",$169,98
KY,4.Covington,"$250,000",$171,55
KY,5.Frankfort,"$284,900",$138,70
KY,6.Florence,"$245,000",$188,34
KY,7.Georgetown,"$367,450",$160,87
KY,8.Richmond,"$321,450",$151,84
KY,9.Elizabethtown,"$319,000",$158,69
KY,10.Nicholasville,"$384,328",$168,62
KY,11.Paducah,"$235,000",$106,64
KY,12.Newport,"$432,000",$203,76
KY,13.Versailles,"$382,433",$157,52
KY,14.Union,"$421,300",$185,87
KY,15.Fort Thomas,"$797,500",$220,61
KY,16.Winchester,"$277,000",$139,69
KY,17.Shelbyville,"$349,990",$162,67
KY,18.Mount Washington,"$325,000",$175,65
KY,19.Bardstown,"$269,900",$174,66
KY,20.Independence,"$350,000",$171,36
LA,1.New Orleans,"$349,900",$208,140
LA,2.Baton Rouge,"$181,000",$140,102
LA,3.Metairie,"$375,000",$166,113
LA,4.Mandeville,"$387,900",$176,133
LA,5.Covington,"$307,500",$219,76
LA,6.Slidell,"$225,750",$115,118
LA,7.Shreveport,"$179,000",$101,99
LA,8.Denham Springs,"$230,000",$142,70
LA,9.Kenner,"$268,500",$156,116
LA,10.Gonzales,"$295,000",$166,133
LA,11.Lafayette,"$292,500",$130,109
LA,12.Prairieville,"$382,400",$164,70
LA,13.Zachary,"$300,000",$146,79
LA,14.Gretna,"$245,000",$145,93
LA,15.Hammond,"$254,900",$114,92
LA,16.Harvey,"$229,988",$130,78
LA,17.Marrero,"$210,000",$136,100
LA,18.Madisonville,"$345,000",$168,132
LA,19.Lake Charles,"$219,000",$122,133
LA,20.Ponchatoula,"$225,000",$142,90
ME,1.Portland,"$650,000",$392,76
ME,2.Scarborough,"$649,900",$345,53
ME,3.South Portland,"$637,500",$380,40
ME,4.Falmouth,"$950,000",$644,63
ME,5.Kennebunk,"$619,900",$337,58
ME,6.Cape Elizabeth,"$1,170,000",$346,43
ME,7.Bangor,"$324,999",$179,64
ME,8.Brunswick,"$479,000",$357,54
ME,9.Kennebunkport,"$1,275,000","$1,604",56
ME,10.Kittery,"$1,075,000",$409,56
ME,11.Saco,"$520,000",$291,65
ME,12.Camden,"$799,000",$364,85
ME,13.Yarmouth,"$795,000",$308,53
ME,14.Freeport,"$632,000",—,60
ME,15.Bar Harbor,"$1,007,500",$565,231
ME,16.Biddeford,"$554,500",$290,63
ME,17.Westbrook,"$534,899",$296,40
ME,18.Old Orchard Beach,"$499,750",$303,91
ME,19.Bath,"$367,500",$239,50
ME,20.Gorham,"$495,000",$253,42
MD,1.Bowie,"$515,000",$254,46
MD,2.Baltimore,"$225,000",$156,70
MD,3.Silver Spring,"$437,500",$314,70
MD,4.Bethesda,"$2,162,450",$469,69
MD,5.Frederick,"$457,495",$225,45
MD,6.Rockville,"$575,000",$355,53
MD,7.Columbia,"$434,950",$246,30
MD,8.Upper Marlboro,"$320,000",$259,59
MD,9.Ellicott City,"$572,450",$257,45
MD,10.Laurel,"$399,450",$257,44
MD,11.Gaithersburg,"$517,450",$300,40
MD,12.Annapolis,"$675,000",$289,48
MD,13.Potomac,"$1,695,000",$306,50
MD,14.Waldorf,"$453,000",$205,47
MD,15.Germantown,"$400,000",$260,48
MD,16.Fort Washington,"$575,000",$225,51
MD,17.Crofton,"$412,450",$252,46
MD,18.Olney,"$665,000",$267,45
MD,19.Clarksburg,"$596,450",$260,44
MD,20.Ocean City,"$479,899",$428,84
MA,1.Boston,"$1,050,000",$670,85
MA,2.Newton,"$1,999,000",$574,76
MA,3.Cambridge,"$1,585,000",$911,88
MA,4.Quincy,"$660,000",$454,47
MA,5.Lexington,"$3,299,000",$572,63
MA,6.Brookline,"$1,998,000",$704,89
MA,7.Arlington,"$1,195,000",$552,46
MA,8.Waltham,"$1,124,900",$426,47
MA,9.Wellesley,"$2,150,000",$634,80
MA,10.Natick,"$1,299,900",$403,68
MA,11.Needham,"$2,500,000",$528,75
MA,12.Braintree,"$674,900",$387,53
MA,13.Medford,"$888,000",$436,47
MA,14.Acton,"$825,000",$356,46
MA,15.Woburn,"$899,900",$452,36
MA,16.Worcester,"$490,000",$266,40
MA,17.Andover,"$1,250,000",$400,72
MA,18.Chelmsford,"$575,000",$374,28
MA,19.Reading,"$779,950",$451,59
MA,20.Framingham,"$649,900",$386,44
MI,1.Detroit,"$102,500",$72,81
MI,2.Ann Arbor,"$578,116",$348,74
MI,3.Grand Rapids,"$300,000",$186,56
MI,4.Troy,"$450,000",$224,59
MI,5.Novi,"$492,250",$219,47
MI,6.Farmington Hills,"$325,000",$175,44
MI,7.Livonia,"$287,450",$201,45
MI,8.Northville,"$450,000",$214,50
MI,9.Royal Oak,"$379,000",$269,54
MI,10.Holland,"$432,450",$228,46
MI,11.Plymouth,"$499,900",$287,60
MI,12.Bloomfield Hills,"$480,000",$244,53
MI,13.Birmingham,"$1,949,000",$357,49
MI,14.Southfield,"$229,950",$163,42
MI,15.New Buffalo,"$999,000",$342,96
MI,16.Rochester Hills,"$457,500",$225,78
MI,17.Sterling Heights,"$319,900",$192,41
MI,18.Dearborn,"$274,350",$204,32
MI,19.Kalamazoo,"$175,000",$148,51
MI,20.Warren,"$175,000",$152,46
MN,1.Minneapolis,"$319,900",$208,75
MN,2.St. Paul,"$289,900",$184,69
MN,3.Edina,"$524,900",$252,95
MN,4.Minnetonka,"$420,000",$241,68
MN,5.Plymouth,"$480,000",$202,80
MN,6.Eden Prairie,"$439,900",$192,68
MN,7.Eagan,"$399,450",$182,54
MN,8.Maple Grove,"$475,000",$192,64
MN,9.Woodbury,"$499,900",$194,65
MN,10.Bloomington,"$349,900",$182,60
MN,11.St. Louis Park,"$314,500",$237,75
MN,12.Lakeville,"$550,406",$195,73
MN,13.Blaine,"$444,900",$187,57
MN,14.Duluth,"$275,400",$156,52
MN,15.Rochester,"$443,950",$166,71
MN,16.Apple Valley,"$329,900",$198,62
MN,17.Stillwater,"$459,500",$248,49
MN,18.Brooklyn Park,"$325,000",$175,53
MN,19.Burnsville,"$267,450",$176,57
MN,20.Roseville,"$347,450",$180,57
MS,1.Biloxi,"$309,000",$152,91
MS,2.Olive Branch,"$359,450",$160,81
MS,3.Gulfport,"$229,900",$133,90
MS,4.Jackson,"$99,500",$82,92
MS,5.Laurel,"$248,000",$95,86
MS,6.Ocean Springs,"$335,000",$205,118
MS,7.Southaven,"$335,950",$165,71
MS,8.Hattiesburg,"$239,000",—,84
MS,9.Oxford,"$550,000",—,74
MS,10.Brandon,"$362,200",$148,96
MS,11.Bay St. Louis,"$450,000",$255,159
MS,12.Madison,"$565,000",$159,73
MS,13.Hernando,"$399,900",$166,92
MS,14.Pass Christian,"$427,000",$230,159
MS,15.Ridgeland,"$369,000",$156,74
MS,16.Horn Lake,"$300,000",$154,75
MS,17.Byhalia,"$326,990",$190,161
MS,18.Long Beach,"$310,500",$139,113
MS,19.Tupelo,"$290,000",—,70
MS,20.Clinton,"$342,250",$136,89
MO,1.Kansas City,"$250,000",$152,71
MO,2.St. Louis,"$199,700",$153,64
MO,3.St. Charles,"$335,000",$193,46
MO,4.Lee's Summit,"$525,000",$174,75
MO,5.Chesterfield,"$545,000",$189,55
MO,6.Springfield,"$205,000",$122,119
MO,7.Kirkwood,"$709,900",$221,64
MO,8.Independence,"$215,000",$130,62
MO,9.O'Fallon,"$382,995",$170,53
MO,10.Blue Springs,"$397,450",$164,82
MO,11.Ballwin,"$439,000",$178,38
MO,12.Webster Groves,"$357,000",$258,38
MO,13.Branson,"$238,200",$17,168
MO,14.Clayton,"$752,450",$326,73
MO,15.St. Peters,"$300,000",$167,36
MO,16.Florissant,"$220,000",$124,51
MO,17.Columbia,"$454,000",$154,74
MO,18.Liberty,"$398,500",$159,67
MO,19.Ladue,"$1,249,900",$395,116
MO,20.Wentzville,"$385,000",$184,70
MT,1.Bozeman,"$712,000",—,118
MT,2.Missoula,"$599,450",—,82
MT,3.Billings,"$385,400",—,87
MT,4.Whitefish,"$1,200,000",—,141
MT,5.Kalispell,"$550,000",—,106
MT,6.Helena,"$474,500",—,70
MT,7.Big Sky,"$2,792,500",—,190
MT,8.Great Falls,"$349,000",—,75
MT,9.Livingston,"$525,000",—,80
MT,10.Bigfork,"$1,195,000",—,133
MT,11.Polson,"$619,750",—,152
MT,12.Hamilton,"$429,000",—,89
MT,13.Columbia Falls,"$510,000",—,83
MT,14.Belgrade,"$572,500",—,81
MT,15.Red Lodge,"$549,900",—,173
MT,16.Libby,"$329,000",—,138
MT,17.West Yellowstone,"$879,000",—,214
MT,18.Lakeside,"$900,000",—,162
MT,19.Stevensville,"$479,000",—,85
MT,20.Ennis,"$632,250",—,190
NE,1.Omaha,"$260,000",$151,45
NE,2.Lincoln,"$341,000",$155,50
NE,3.Papillion,"$415,000",$140,40
NE,4.Bellevue,"$312,250",$138,42
NE,5.Gretna,"$772,450",$138,64
NE,6.Bennington,"$345,000",$182,78
NE,7.La Vista,"$365,000",$158,32
NE,8.Kearney,"$315,000",$127,42
NE,9.Grand Island,"$358,000",$122,72
NE,10.Fremont,"$225,000",$132,71
NE,11.Plattsmouth,"$219,000",$131,29
NE,12.Blair,"$355,000",$155,72
NE,13.Scottsbluff,"$217,250",$104,62
NE,14.Waterloo,"$276,500",—,24
NE,15.North Platte,"$177,000",$109,56
NE,16.Nebraska City,"$245,000",$119,46
NE,17.Ralston,"$290,000",$146,32
NE,18.Beatrice,"$249,900",$92,68
NE,19.Ashland,"$422,400",$161,296
NE,20.Norfolk,"$254,500",$113,72
NV,1.Las Vegas,"$449,999",$260,71
NV,2.Henderson,"$545,000",$267,73
NV,3.Reno,"$541,500",$322,83
NV,4.North Las Vegas,"$425,000",$239,67
NV,5.Carson City,"$535,000",$307,82
NV,6.Incline Village,"$1,548,500",$728,140
NV,7.Sparks,"$549,950",$270,67
NV,8.Pahrump,"$418,450",$206,102
NV,9.Summerlin South,"$846,900",$363,84
NV,10.Boulder City,"$439,950",$267,84
NV,11.Gardnerville,"$592,450",$335,96
NV,12.Spring Valley,"$458,000",$260,71
NV,13.Minden,"$589,950",$300,67
NV,14.Mesquite,"$431,494",$221,89
NV,15.Laughlin,"$229,995",$190,89
NV,16.Enterprise,"$509,903",$258,70
NV,17.Paradise,"$400,000",$257,89
NV,18.Stateline,"$2,490,000",—,166
NV,19.Fernley,"$414,950",$236,81
NV,20.Dayton,"$469,950",$257,64
NH,1.Nashua,"$507,450",$272,36
NH,2.Salem,"$609,000",$353,41
NH,3.Portsmouth,"$935,000",$604,90
NH,4.Manchester,"$449,900",$258,42
NH,5.Derry,"$375,000",$292,37
NH,6.Londonderry,"$564,003",$240,79
NH,7.Hudson,"$519,900",$320,53
NH,8.Concord,"$522,400",$230,54
NH,9.Dover,"$625,000",$332,57
NH,10.Exeter,"$494,900",$328,70
NH,11.Hampton,"$539,900",$508,76
NH,12.Amherst,"$573,000",$224,40
NH,13.Laconia,"$549,900",$272,90
NH,14.Keene,"$375,000",$192,47
NH,15.North Conway,"$622,000",$361,84
NH,16.Hanover,"$1,747,500",$426,51
NH,17.Rochester,"$399,900",$257,39
NH,18.Goffstown,"$636,950",$326,61
NH,19.Hooksett,"$472,500",$246,37
NH,20.Meredith,"$759,900",$430,86
NJ,1.Jersey City,"$710,000",$573,82
NJ,2.Montclair,"$1,699,950",$550,52
NJ,3.Princeton,"$1,969,250",$526,88
NJ,4.Hoboken,"$1,099,000",$798,54
NJ,5.Edison,"$612,450",$367,78
NJ,6.Ridgewood,"$1,175,000",$458,57
NJ,7.Fort Lee,"$507,500",$439,78
NJ,8.Newark,"$619,000",$246,76
NJ,9.Summit,"$1,387,000",$607,53
NJ,10.Paramus,"$1,249,500",$452,68
NJ,11.Clifton,"$559,500",$394,62
NJ,12.Westfield,"$1,650,000",$449,81
NJ,13.Bridgewater,"$537,500",$372,44
NJ,14.Haddonfield,"$1,062,450",$414,42
NJ,15.Ocean City,"$1,299,000",$755,92
NJ,16.Cape May,"$1,499,500",$666,88
NJ,17.Toms River,"$525,000",$298,59
NJ,18.Tenafly,"$1,550,000",$562,82
NJ,19.Marlton,"$415,000",$241,31
NJ,20.Metuchen,"$577,500",$401,66
NM,1.Albuquerque,"$375,000",$207,68
NM,2.Santa Fe,"$625,000",$354,100
NM,3.Las Cruces,"$339,000",$135,88
NM,4.Taos,"$635,000",—,178
NM,5.Rio Rancho,"$430,995",$215,75
NM,6.Los Alamos,"$750,000",$278,45
NM,7.Corrales,"$950,000",$300,102
NM,8.Ruidoso,"$427,250",—,127
NM,9.Silver City,"$237,450",—,147
NM,10.Los Lunas,"$382,995",$191,73
NM,11.Roswell,"$258,000",$48,76
NM,12.Tijeras,—,$171,128
NM,13.Alamogordo,"$239,900",—,65
NM,14.Farmington,"$378,280",—,62
NM,15.Los Ranchos de Albuquerque,"$1,725,000",$272,40
NM,16.Placitas,"$857,500",$267,88
NM,17.Angel Fire,"$1,995,000",—,122
NM,18.Edgewood,"$469,950",$198,86
NM,19.Clovis,"$225,000",—,91
NM,20.Las Vegas,"$275,000",—,83
NY,1.New York,"$949,000",$630,98
NY,2.Manhattan,"$1,650,000","$1,416",102
NY,3.Rochester,"$125,000",$98,45
NY,4.Buffalo,"$183,000",$120,63
NY,5.Yonkers,"$279,000",$341,68
NY,6.White Plains,"$399,000",$344,75
NY,7.Scarsdale,"$3,395,000",$600,134
NY,8.Albany,"$272,450",$153,63
NY,9.New Rochelle,"$459,000",$318,60
NY,10.Huntington,"$1,174,000",$427,61
NY,11.Commack,"$824,500",$422,38
NY,12.Massapequa,"$925,000",$408,49
